,id,tweet,subtask_a,subtask_b,subtask_c,clean_tweet
4289,88877,#VictoriaSecrets being political? OMG... give it up. You are killing half your profits when you slur Conservatives. 🇺🇸 #KAG URL,NOT,,, victoriasecrets being political? omg    give it up  you are killing half your profits when you slur conservatives      kag url
4290,79646,@USER @USER James she is neck deep in her own confirmation bias she is unable to see logic and reason at this point.,NOT,,,    james she is neck deep in her own confirmation bias she is unable to see logic and reason at this point 
4291,67065,@USER About fifty deaths per weekend caused by guns in Chicago which has very strict gun control laws-,NOT,,,  about fifty deaths per weekend caused by guns in chicago which has very strict gun control laws 
4292,58613,".@USER I'm not installing your shitty app, but put me down for 100% for the second amendment/campus carry, 100% against gun control except violent felons"". URL",OFF,TIN,GRP,"   i am not installing your shitty app, but put me down for 100  for the second amendment campus carry, 100  against gun control except violent felons""  url"
4293,13946,@USER Conservatives have no class. How is Andy the failed insurance huckster doing these days? URL,NOT,,,  conservatives have no class  how is andy the failed insurance huckster doing these days? url
4294,59288,@USER He must see a lot of himself in them.,NOT,,,  he must see a lot of himself in them 
4295,77557,@USER Keep up the good work you do. And ignore the haters that attack you. You are a good lady!,NOT,,,  keep up the good work you do  and ignore the haters that attack you  you are a good lady!
4296,65289,#Conservatives left #frustrated as #Congress passes big spending bills...  #tcot URL,NOT,,, conservatives left  frustrated as  congress passes big spending bills      tcot url
4297,90485,@USER Don’t mess with niggas from Marcy projects george Zimmerman! You gonna get lit!,OFF,UNT,,  don t mess with niggas from marcy projects george zimmerman! you gonna get lit!
4298,13088,@USER man I woulda just started hitting the wall with that shit.  It ain't nothing by dry wall and some wood beams.  I'm getting through that door if I'm him.,OFF,TIN,IND,  man i woulda just started hitting the wall with that shit   it ai not nothing by dry wall and some wood beams   i am getting through that door if i am him 
4299,94371,#WillieNelson laughs at conservatives on The View for suddenly being outraged by his support of Democrats URL,NOT,,, willienelson laughs at conservatives on the view for suddenly being outraged by his support of democrats url
4300,22409,@USER @USER Oh he’s getting louder!,NOT,,,    oh he s getting louder!
4301,49759,@USER @USER He can admit that 3000 Americans died on his watch. You should remind him he is President of all of us.,NOT,,,    he can admit that 3000 americans died on his watch  you should remind him he is president of all of us 
4302,32653,@USER @USER @USER Fuck yes ride it baby!,OFF,TIN,IND,      fuck yes ride it baby!
4303,83667,@USER A good person turns people in doing crimes.  To say Satan made them do it is unthinkable.  Satan wouldn't turn the child abusers in.  What is this progressive pope thinking?,NOT,,,  a good person turns people in doing crimes   to say satan made them do it is unthinkable   satan would not turn the child abusers in   what is this progressive pope thinking?
4304,57599,@USER Christianity is against abortion. It considers abortion as murder. Chelsea doesn’t under Christianity &amp; probably doesn’t even go to church.,NOT,,,  christianity is against abortion  it considers abortion as murder  chelsea doesn t under christianity  andamp  probably doesn t even go to church 
4305,77637,@USER jajaja Too funny. I have never heard @USER ever speak bad about ANTIFA. Time to denounce them now.,NOT,,,  jajaja too funny  i have never heard   ever speak bad about antifa  time to denounce them now 
4306,67819,@USER @USER I like Alex Bowman but he is not a rookie,NOT,,,    i like alex bowman but he is not a rookie
4307,43956,@USER she is and tea is she used to be in the program oop,NOT,,,  she is and tea is she used to be in the program oop
4308,90849,@USER Have you ever seen the former Democratic hierarchy fight against the president so much??? We know it’s because you’ve been so corrupt and guilty of abuse of power. It’s our darkest times with the DOJ/CIA and Presidential cabinet,OFF,TIN,OTH,  have you ever seen the former democratic hierarchy fight against the president so much??? we know it s because you ve been so corrupt and guilty of abuse of power  it s our darkest times with the doj cia and presidential cabinet
4309,45405,#Tories #Labour #GE2017 #Conservatives Conservatives URL theresa_may: We have three fantastic shortlisted Conservative candidates for Mayor of London in ShaunBaileyUK andrewboff and joymorrissey - all proud advocates for London. If y… URL,NOT,,, tories  labour  ge2017  conservatives conservatives url theresa_may  we have three fantastic shortlisted conservative candidates for mayor of london in shaunbaileyuk andrewboff and joymorrissey   all proud advocates for london  if y  url
4310,89853,@USER hopefully you are an asu fan and not u of a,NOT,,,  hopefully you are an asu fan and not u of a
4311,38942,"@USER Lol, read the title and you already know whats coming... ...who support common sense solutions to reducing gun violence,"" How is gun violence different from other violence? What is a non-automatic firearm? What is common sense gun control? Is it like Chicago, NY,.. London?..""",OFF,TIN,GRP,"  lol, read the title and you already know whats coming       who support common sense solutions to reducing gun violence,"" how is gun violence different from other violence? what is a non automatic firearm? what is common sense gun control? is it like chicago, ny,   london?  """
4312,13931,@USER @USER Somebody do something!!! This show sucks anymore!! The set designers are good though! #firemalyoung,OFF,TIN,OTH,    somebody do something!!! this show sucks anymore!! the set designers are good though!  firemalyoung
4313,12809,"#PeoplesVote  #StopBrexit  @USER  #remain  I don't want to go.. either, You know what, After we leave, My slogans going to be It used to be better than this"" should have stayed in. Useless goverment. URL",OFF,TIN,OTH," peoplesvote   stopbrexit      remain  i do not want to go   either, you know what, after we leave, my slogans going to be it used to be better than this"" should have stayed in  useless goverment  url"
4314,27230,@USER @USER It’s ok Legatron we know you are the best and will bounce back with a new team!! Keep yo head up URL,NOT,,,    it s ok legatron we know you are the best and will bounce back with a new team!! keep yo head up url
4315,33913,@USER Maybe they will Havana an Antifa race war &amp; slam the dildos out of each others butts.,OFF,TIN,GRP,  maybe they will havana an antifa race war  andamp  slam the dildos out of each others butts 
4316,93956,@USER @USER Yeah. He’s very immature &amp; can dish out criticism while crying and blocking instead of accepting any. It’s cool. Folks can see him for who he is mostly.,OFF,TIN,IND,    yeah  he s very immature  andamp  can dish out criticism while crying and blocking instead of accepting any  it s cool  folks can see him for who he is mostly 
4317,20339,"@USER @USER @USER But what makes you think they are liberals?  There is nothing liberal about any of that.  These people spent the '90s insulting liberals, publicly humiliating black activists, and openly attacking the New Deal.  Where is the liberal"" part?  They passed GOP policies!""",OFF,TIN,OTH,"      but what makes you think they are liberals?  there is nothing liberal about any of that   these people spent the '90s insulting liberals, publicly humiliating black activists, and openly attacking the new deal   where is the liberal"" part?  they passed gop policies!"""
4318,81571,@USER What the fuck is this they’re trying to set him up so it looks like he somehow deserved to be shot,OFF,TIN,GRP,  what the fuck is this they re trying to set him up so it looks like he somehow deserved to be shot
4319,37603,@USER Because claims if sex assault and rape are only political weapons to them.,NOT,,,  because claims if sex assault and rape are only political weapons to them 
4320,84361,@USER @USER Here come the beta liberals lmao *convo muted you can cry all day to yourselves.,OFF,TIN,GRP,    here come the beta liberals lmao  convo muted you can cry all day to yourselves 
4321,61642,@USER Srsly it sucks. When ur living life it’s full of bullshit rules we just gotta suck up to survive,OFF,UNT,,  srsly it sucks  when ur living life it s full of bullshit rules we just gotta suck up to survive
4322,89193,@USER @USER @USER @USER Connections are vital with all of the crap Twitter forces on conservatives.,OFF,TIN,OTH,        connections are vital with all of the crap twitter forces on conservatives 
4323,43827,Ain’t got shit  done today,OFF,TIN,OTH,ain t got shit  done today
4324,49074,@USER @USER @USER @USER @USER Typical violent antifa... @USER hooligans are stalking California causing mayhem. URL,NOT,,,          typical violent antifa      hooligans are stalking california causing mayhem  url
4325,58602,@USER @USER @USER @USER @USER  #DoYourJob #DoTheRightThing -U all know well what a stellar #SCOTUS #JudgeKavanaugh will B-a documented lifetime of excellence Don't B puppets obstructing @USER who is #MAGA &amp; #KAG #ConfirmKavanaughNow #MAGA #KAG,NOT,,,            doyourjob  dotherightthing  u all know well what a stellar  scotus  judgekavanaugh will b a documented lifetime of excellence do not b puppets obstructing   who is  maga  andamp   kag  confirmkavanaughnow  maga  kag
4326,44561,@USER Laws not just for Conservatives or an unpopular group with the Media. Women have long failed other women and the Me Too is no more sincere than the Feminist movement was about Bill Clinton or Ted Kennedy.,NOT,,,  laws not just for conservatives or an unpopular group with the media  women have long failed other women and the me too is no more sincere than the feminist movement was about bill clinton or ted kennedy 
4327,47749,"@USER Well remember how the cops in San Jose stood down"" and watched as antifa thugs armed with bats,bottles &amp; pepper spray attacked Trump rally goers?  They were ""just following orders"".  That's what most soldiers &amp; cops do. Soldiers follow orders &amp; cops protect their paycheck.  SAD.""",OFF,TIN,GRP,"  well remember how the cops in san jose stood down"" and watched as antifa thugs armed with bats,bottles  andamp  pepper spray attacked trump rally goers?  they were ""just following orders""   that  what most soldiers  andamp  cops do  soldiers follow orders  andamp  cops protect their paycheck   sad """
4328,80940,"#GreatestThingsAboutThe90s NOTHING. The treacherous lefty media people made sure Benny Hill was taken off TV and even more treacherous conservatives"" conspired to remove Maggie Thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie EU""",OFF,TIN,GRP," greatestthingsaboutthe90s nothing  the treacherous lefty media people made sure benny hill was taken off tv and even more treacherous conservatives"" conspired to remove maggie thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie eu"""
4329,74837,@USER @USER @USER @USER Totally fair. But the times it's happened to Serena in very important grand slam matches at the same slam. I get why shed be emotional. We're not in her shoes. Every match she is expected to win and it's clear she's not handling her nerves well anymore in these matches.,NOT,,,        totally fair  but the times it  happened to serena in very important grand slam matches at the same slam  i get why shed be emotional  we are not in her shoes  every match she is expected to win and it  clear she  not handling her nerves well anymore in these matches 
4330,24552,@USER hope all is well. Thats so fucked. Like seriously what the fuck is wrong with ppl now. Gun control is no issue though right. Thank God I live in Canada. Feel brutal for all the attacks in the U.S.A but seriously it won't go away.,OFF,TIN,IND,  hope all is well  thats so fucked  like seriously what the fuck is wrong with ppl now  gun control is no issue though right  thank god i live in canada  feel brutal for all the attacks in the u s a but seriously it wo not go away 
4331,56174,@USER @USER Twisted Dem talk exhibited as Sen Feinstein insists Kavanaugh answer how he would handle a specific case. Seems Ginsburg rule not important to her when she is fishing for a specific answer!,NOT,,,    twisted dem talk exhibited as sen feinstein insists kavanaugh answer how he would handle a specific case  seems ginsburg rule not important to her when she is fishing for a specific answer!
4332,97595,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all patriots please fb,NOT,,,                                      following all patriots please fb
4333,69390,@USER @USER @USER @USER That's just depressing. Good churches are getting hard to find. Few and far between. I know people who belong to churches that espouse gun control and abortion! That's politics - not God! Not Christ!,OFF,TIN,GRP,        that  just depressing  good churches are getting hard to find  few and far between  i know people who belong to churches that espouse gun control and abortion! that  politics   not god! not christ!
4334,82828,"@USER Ouch that hurt""  Well anyway you are?""",NOT,,,"  ouch that hurt""  well anyway you are?"""
4335,57331,@USER GOOD 🖕them !,OFF,UNT,,  good  them !
4336,68331,It’s good that @USER is taking a page out of @USER book by hiring more high power woman in leadership roles. If only he was as good of a leader as #POTUS45 maybe the #Mavericks wouldn’t be in the position they are now. #MarkCuban #metoo #maga,NOT,,,it s good that   is taking a page out of   book by hiring more high power woman in leadership roles  if only he was as good of a leader as  potus45 maybe the  mavericks wouldn t be in the position they are now   markcuban  metoo  maga
4337,64298,@USER @USER Liberals and their games,NOT,,,    liberals and their games
4338,99344,"@USER @USER I wonder if they will burn their Levis since @USER has come out in favor of gun control? Levi Strauss teams up with gun control group: We cannot stand by silently"" URL URL",OFF,TIN,OTH,"    i wonder if they will burn their levis since   has come out in favor of gun control? levi strauss teams up with gun control group  we cannot stand by silently"" url url"
4339,92226,@USER @USER Good shit my bad though,OFF,UNT,,    good shit my bad though
4340,54482,@USER @USER Jack Nicas just covered up for Google. They basically scratch each other’s back to sell the globalist agenda. People now get a rare glimpse into the fake news media,NOT,,,    jack nicas just covered up for google  they basically scratch each other s back to sell the globalist agenda  people now get a rare glimpse into the fake news media
4341,83417,#canpoli conservatives are excellent at running up debt and enriching their special interests. URL,NOT,,, canpoli conservatives are excellent at running up debt and enriching their special interests  url
4342,25689,@USER Hey @USER why don’t you just leave then? It’s ok we’ll be ok without you. Let us know how much better things are where you end up.,NOT,,,  hey   why don t you just leave then? it s ok we ll be ok without you  let us know how much better things are where you end up 
4343,32453,@USER And don't say anything towards me because my cousins are Puerto Rican my answer Puerto Rican none of them blame from they ain't playing the mayor of Puerto Rico the government,NOT,,,  and do not say anything towards me because my cousins are puerto rican my answer puerto rican none of them blame from they ai not playing the mayor of puerto rico the government
4344,77314,@USER @USER @USER Immediately. Anyone gets out of line they will get a 1 on 1 talk by og ragey. Guaranteed everyone will behave. Reeee.,NOT,,,      immediately  anyone gets out of line they will get a 1 on 1 talk by og ragey  guaranteed everyone will behave  reeee 
4345,30113,@USER @USER He's NO POPE!!,NOT,,,    he  no pope!!
4346,58213,@USER @USER That’s so sad and terrifying; I know it’s been dropped to a 2 but all the reports I’ve seen says that doesn’t mean shit for this storm. All you have to do is look at pictures of that thing to realize it’s a fucking BEAST,OFF,UNT,,    that s so sad and terrifying  i know it s been dropped to a 2 but all the reports i ve seen says that doesn t mean shit for this storm  all you have to do is look at pictures of that thing to realize it s a fucking beast
4347,66385,@USER When atmosphere turns greenish tint from greenhouse gases and humans eat humans in candy bar form maybe I’ll care. MAGA!!!!!!!!,OFF,TIN,GRP,  when atmosphere turns greenish tint from greenhouse gases and humans eat humans in candy bar form maybe i ll care  maga!!!!!!!!
4348,22450,@USER @USER @USER There are thousands apon thousands of videos on YouTube alone of Antifa attacking people just for being at Trump rallies or Republican events. This is not happening anywhere to Democrats. This is on a widespread scale and people like you try to lie and obfuscate to cover them,OFF,TIN,IND,      there are thousands apon thousands of videos on youtube alone of antifa attacking people just for being at trump rallies or republican events  this is not happening anywhere to democrats  this is on a widespread scale and people like you try to lie and obfuscate to cover them
4349,78783,@USER @USER See the mess Europe is for PR examples. Giving liberals a go at anything in government always ends in disaster. You're welcome: URL,NOT,,,    see the mess europe is for pr examples  giving liberals a go at anything in government always ends in disaster  you are welcome  url
4350,54357,ANTIFA in Canada demand to be let into a government meeting  URL,NOT,,,antifa in canada demand to be let into a government meeting  url
4351,31585,@USER @USER Boycott NFL Continues 👍,NOT,,,    boycott nfl continues  
4352,74795,A mood. URL,NOT,,,a mood  url
4353,32094,@USER @USER She can lie in the shit she created,OFF,TIN,IND,    she can lie in the shit she created
4354,89653,@USER @USER @USER @USER @USER @USER @USER Maybe stop attacking Conservatives and you might find they don’t retaliate.,OFF,TIN,IND,              maybe stop attacking conservatives and you might find they don t retaliate 
4355,40520,@USER I can’t wait till antifa dorks get shot trying this.,NOT,,,  i can t wait till antifa dorks get shot trying this 
4356,30058,@USER @USER thats really hard hitting stuff! why not grill him on how his party along with the @USER  bought AUSTERITY not for the rich but for the poor the sick and disabled and ask if they are STILL feeling the efects? oh no you wont @USER TORY RUN media!,NOT,,,    thats really hard hitting stuff! why not grill him on how his party along with the    bought austerity not for the rich but for the poor the sick and disabled and ask if they are still feeling the efects? oh no you wont   tory run media!
4357,68946,@USER thinking of leaving this is a joke now! I spend all my time connecting for it just to disconnect again!,NOT,,,  thinking of leaving this is a joke now! i spend all my time connecting for it just to disconnect again!
4358,11410,"@USER @USER I know the brown shirts"" in the UK were not an arm of Government then but ANTIFA and the protection they receive from our police and as shown the German Police seem to act like it.""",NOT,,,"    i know the brown shirts"" in the uk were not an arm of government then but antifa and the protection they receive from our police and as shown the german police seem to act like it """
4359,66982,@USER @USER That is just awful ! He never was much anyway! A grown man acting like that; a bully ! Best to you and hubby Mark ! MAGA 🇺🇸,OFF,TIN,IND,    that is just awful ! he never was much anyway! a grown man acting like that  a bully ! best to you and hubby mark ! maga   
4360,53817,@USER @USER What award. Head of the Nazi antifa violence movement,OFF,UNT,,    what award  head of the nazi antifa violence movement
4361,15355,After you declare ANTIFA a terrorist's organization then start collecting the names of all the professors involved: URL,NOT,,,after you declare antifa a terrorist  organization then start collecting the names of all the professors involved  url
4362,53820,@USER @USER You do understand we need Europe right?,NOT,,,    you do understand we need europe right?
4363,29348,.@USER Just another Republican hater!  It amazes me that liberals don’t like Republican’s money 💰 Colin You’re fired! 😂😂#BoycottColinJost #EmmyAwards URL,NOT,,,   just another republican hater!  it amazes me that liberals don t like republican s money   colin you re fired!    boycottcolinjost  emmyawards url
4364,36876,@USER She does not remember? Of course she doesn’t! She is making it up as she goes and with the “ help” of her therapist and all the others that believes her BS story. Maybe if she gets hypnotized she will miraculously remember “ more details” #Freakingliars liberals obstructionist🤬,NOT,,,  she does not remember? of course she doesn t! she is making it up as she goes and with the   help  of her therapist and all the others that believes her bs story  maybe if she gets hypnotized she will miraculously remember   more details   freakingliars liberals obstructionist 
4365,27993,@USER And yet “he is”. Better than anyone before him🤢,NOT,,,  and yet  he is   better than anyone before him 
4366,88629,@USER You @USER speak the Truth about =&gt; #Louis Farrakhan &lt;= ... he is a raging anti-Semite &amp; racist.,OFF,TIN,IND,  you   speak the truth about   andgt   louis farrakhan  andlt       he is a raging anti semite  andamp  racist 
4367,98437,@USER He needs a long look in the mirror,NOT,,,  he needs a long look in the mirror
4368,12425,@USER Kingggg,NOT,,,  kingggg
4369,28378,@USER The beauty of this.  Just like the dems inventing the nuclear option the next time a liberal is up for consideration for scotus we conservatives will know what to do.,NOT,,,  the beauty of this   just like the dems inventing the nuclear option the next time a liberal is up for consideration for scotus we conservatives will know what to do 
4370,88099,@USER I LOVE YOUR WIT!  You are clearly perceptive and very smart - one of the best to play this game - just played too hard like Andy said.,NOT,,,  i love your wit!  you are clearly perceptive and very smart   one of the best to play this game   just played too hard like andy said 
4371,60981,@USER I ain’t fucking w/u today lol,OFF,UNT,,  i ain t fucking w u today lol
4372,17546,"Ed Rendell Says Dems Will Retake House By 10 to 20 Seats""  URL #TCOT #MAGA #RedNationRising""",NOT,,,"ed rendell says dems will retake house by 10 to 20 seats""  url  tcot  maga  rednationrising"""
4373,39663,@USER The Irony is that most murders are done by illegal gun users who are gang members . This predominantly only affects Latino and black families. The problem is not gun control the problem is judges who let violent gun offenders back on Street after shooting someone.,OFF,TIN,GRP,  the irony is that most murders are done by illegal gun users who are gang members   this predominantly only affects latino and black families  the problem is not gun control the problem is judges who let violent gun offenders back on street after shooting someone 
4374,71163,@USER I’ve been asking myself the same question and it’s because he is such a phony. If He is such a fan of cleveland why is and he still playing for the Cavaliers the POS. He’s trying to save face with the Fanbase and it’s so obvious that is his fakeness! But stupid people will buy in,OFF,TIN,IND,  i ve been asking myself the same question and it s because he is such a phony  if he is such a fan of cleveland why is and he still playing for the cavaliers the pos  he s trying to save face with the fanbase and it s so obvious that is his fakeness! but stupid people will buy in
4375,78479,*Finally at my sister's apartaments* Instant reminder that she is ungrateful brat and i'm much more happy without seeing her,OFF,TIN,IND, finally at my sister  apartaments  instant reminder that she is ungrateful brat and i am much more happy without seeing her
4376,44053,@USER @USER Oh WOW! You look like a 1980's Porn Star #loveit,OFF,TIN,IND,    oh wow! you look like a 1980  porn star  loveit
4377,86690,@USER Corrupt dcrats in charge in PR the big problem,OFF,TIN,GRP,  corrupt dcrats in charge in pr the big problem
4378,72741,@USER no he came back to nyc w ducky,NOT,,,  no he came back to nyc w ducky
4379,58201,@USER @USER @USER U don’t think bad stuff happens to men in cars? Shit happens to everyone it’s just your mindset on how you deal with possible issues like that. You can’t spend your whole life worrying about something that most likely won’t happen to you. But it’s your life do ur thing haha.,OFF,UNT,,      u don t think bad stuff happens to men in cars? shit happens to everyone it s just your mindset on how you deal with possible issues like that  you can t spend your whole life worrying about something that most likely won t happen to you  but it s your life do ur thing haha 
4380,96451,#Professor Who Shot Self Over Trump Says Gun Control Was Actual Goal #AR-15 URL URL,NOT,,, professor who shot self over trump says gun control was actual goal  ar 15 url url
4381,12178,@USER @USER Except he is. His administration has allowed crime in the city to skyrocket. You bloody leftist snake.,OFF,TIN,IND,    except he is  his administration has allowed crime in the city to skyrocket  you bloody leftist snake 
4382,22902,@USER all conservatives are bad people,NOT,,,  all conservatives are bad people
4383,55262,@USER Burt Reynolds was a man's man. None like him nor will there ever be again.,NOT,,,  burt reynolds was a man  man  none like him nor will there ever be again 
4384,47977,@USER Everyone in my orbit is totally backing Serena today! She is totally validated with her actions and handled it with grace and character. I’m sorry for her experience but i feel that respect for her has grown beyond the tennis world 🙌🏼💕,NOT,,,  everyone in my orbit is totally backing serena today! she is totally validated with her actions and handled it with grace and character  i m sorry for her experience but i feel that respect for her has grown beyond the tennis world    
4385,51961,@USER @USER @USER @USER This. Is. Not. A. Trial... was exactly my point. She is not obligated to present evidence there that could otherwise be presented more convincingly in a different environment.,NOT,,,        this  is  not  a  trial    was exactly my point  she is not obligated to present evidence there that could otherwise be presented more convincingly in a different environment 
4386,47697,@USER Bring back Janet Yellen.  She is the author of low prime rate and stable growth &amp; income.,NOT,,,  bring back janet yellen   she is the author of low prime rate and stable growth  andamp  income 
4387,93207,#StaffPick: 'A human rights crisis': US accused of failing to protect citizens from gun violence URL,NOT,,, staffpick  'a human rights crisis'  us accused of failing to protect citizens from gun violence url
4388,47486,@USER @USER I know you guys are scared of ANTIFA,NOT,,,    i know you guys are scared of antifa
4389,67461,@USER @USER They'd be fired if they came out supporting Trump.  Twitter would probably release their addresses to that pedo group.....what's their name again.......oh yeah......Antifa.,NOT,,,    theywould be fired if they came out supporting trump   twitter would probably release their addresses to that pedo group     what is their name again       oh yeah      antifa 
4390,74399,@USER @USER Now thats a diffrent situation but either way you gotta appreciate considering the fact that he is actually liking it just to impress it means he aint like that,NOT,,,    now thats a diffrent situation but either way you gotta appreciate considering the fact that he is actually liking it just to impress it means he aint like that
4391,29089,@USER @USER @USER We love an eagles family,NOT,,,      we love an eagles family
4392,41830,Kyky do u love me ? Are u in Anfield ? Putain la cliiimmmm #LIVPSG,NOT,,,kyky do u love me ? are u in anfield ? putain la cliiimmmm  livpsg
4393,35895,@USER @USER @USER Agreed. Antifa is totally ate up with worms. In fact they are worms.,NOT,,,      agreed  antifa is totally ate up with worms  in fact they are worms 
4394,70414,@USER Disgusting.  He is going down and taking the whole church with him.  My God.,NOT,,,  disgusting   he is going down and taking the whole church with him   my god 
4395,96924,@USER Obama was the devil incarnate &amp; Trump is Jesus Christ himself. I get where you are coming from.,OFF,TIN,IND,  obama was the devil incarnate  andamp  trump is jesus christ himself  i get where you are coming from 
4396,13025,@USER What did u just notice that he is not actually a good speaker just a good reader,NOT,,,  what did u just notice that he is not actually a good speaker just a good reader
4397,49763,"@USER Dear Paul McFartney-  You had us at Beatles.  You lost us at President Mad Captain.  Burn in hell-  Jon."" URL",OFF,TIN,IND,"  dear paul mcfartney   you had us at beatles   you lost us at president mad captain   burn in hell   jon "" url"
4398,55756,@USER Harley is the right choice for public education. He is the right choice at the right time for Orange County.  Rouda is a moderate..pro business...pro family...and the only one who is pro American.,NOT,,,  harley is the right choice for public education  he is the right choice at the right time for orange county   rouda is a moderate  pro business   pro family   and the only one who is pro american 
4399,72490,@USER Liberals have the numbers and money. Conservatives would get smoked. Kansas alone gets beat inside of 2 hours.,OFF,TIN,GRP,  liberals have the numbers and money  conservatives would get smoked  kansas alone gets beat inside of 2 hours 
4400,94036,@USER @USER Not sure bout Antifa  But  His notion of an Open Society was informed by his mentor Karl Popper  This motivates him to be anti-border and anti-nationalism  Which is fine  He's allowed try shape the world his way  As long as his core philosophy isn't incorrect  Which it is,NOT,,,    not sure bout antifa  but  his notion of an open society was informed by his mentor karl popper  this motivates him to be anti border and anti nationalism  which is fine  he  allowed try shape the world his way  as long as his core philosophy is not incorrect  which it is
4401,58557,"@USER @USER @USER @USER NRA tweet was a fraud: more than half of Americans say gunrights are the most important issue."" Falsehood. The 53% was ""gun rights/gun control"", and CA question indicates biase towards control. Deliberate knowing propaganda. URL URL",OFF,TIN,IND,"        nra tweet was a fraud  more than half of americans say gunrights are the most important issue "" falsehood  the 53  was ""gun rights gun control"", and ca question indicates biase towards control  deliberate knowing propaganda  url url"
4402,82911,100% Follow Back   Conservatives must stand united!   @USER   #Trump45 #MAGA2KAG 🇺🇸 URL,NOT,,,100  follow back   conservatives must stand united!        trump45  maga2kag    url
4403,60523,@USER Isn't that just a nerd,OFF,TIN,IND,  is not that just a nerd
4404,88379,@USER is way too good to be out of the #NFL. He is better than quite a few starters in the league and better than all of the 2nd &amp; 3rd string QB's in the league. #GiveKapAChance #ImWithKap,NOT,,,  is way too good to be out of the  nfl  he is better than quite a few starters in the league and better than all of the 2nd  andamp  3rd string qb  in the league   givekapachance  imwithkap
4405,73772,@USER @USER @USER @USER There trying that now and it's not working. He is still getting everything done.,NOT,,,        there trying that now and it  not working  he is still getting everything done 
4406,25189,@USER @USER doesn.t the state of Israel do exactly the same but you are a friend of theirs... how come they are different and you see them as a Friend.,NOT,,,    doesn t the state of israel do exactly the same but you are a friend of theirs    how come they are different and you see them as a friend 
4407,66421,@USER @USER @USER @USER @USER has anyone realized chuck is trying use blue in his twitter account and not specify weather he is dem or rep? He is being deceptive of who and what he is so people may pic him not knowing what party he associates with,NOT,,,          has anyone realized chuck is trying use blue in his twitter account and not specify weather he is dem or rep? he is being deceptive of who and what he is so people may pic him not knowing what party he associates with
4408,63778,@USER @USER @USER @USER @USER Maybe they should have started the checks 10 years ago Arron then there wouldn’t be so many Bloody Liberals in the Party.,NOT,,,          maybe they should have started the checks 10 years ago arron then there wouldn t be so many bloody liberals in the party 
4409,21276,@USER He is resting because he can't take another humiliation by Pakistan #180,NOT,,,  he is resting because he can not take another humiliation by pakistan  180
4410,61352,@USER @USER I think we should. But no I don’t think most American do. We divide ourselves in groups along social issues(Conservatives or liberal). Probably because we don’t have a labor party. Or a party that truly cloaks itself in labor identity.,NOT,,,    i think we should  but no i don t think most american do  we divide ourselves in groups along social issues(conservatives or liberal)  probably because we don t have a labor party  or a party that truly cloaks itself in labor identity 
4411,39905,"@USER There is no deal"" to be made on gun control, knob. The 2nd Amendment is a right that no one can deal away.""",NOT,,,"  there is no deal"" to be made on gun control, knob  the 2nd amendment is a right that no one can deal away """
4412,36191,"@USER @USER Love it that SHE's willing to pay the price""...that someone else will pay. Liberals are INSANE""",NOT,,,"    love it that she  willing to pay the price""   that someone else will pay  liberals are insane"""
4413,20010,@USER @USER Antifa methinks !!!,NOT,,,    antifa methinks !!!
4414,26048,@USER @USER Crying babies !!!,NOT,,,    crying babies !!!
4415,50639,@USER @USER @USER @USER @USER @USER @USER @USER Its legal in India and if you adult women only you have to sign it you don't need the other person signature why this rabble rousing in India take it to Vatican &amp; Ireland etc @USER take it where it's  banned Church preachers not to do abortion even if you are raped??,NOT,,,                its legal in india and if you adult women only you have to sign it you do not need the other person signature why this rabble rousing in india take it to vatican  andamp  ireland etc   take it where it   banned church preachers not to do abortion even if you are raped??
4416,37367,@USER @USER @USER @USER 💀😂😂 you for buy give we all,NOT,,,            you for buy give we all
4417,63614,@USER @USER No he is in some other world he dreamed of when he was on drugs in colledge,NOT,,,    no he is in some other world he dreamed of when he was on drugs in colledge
4418,17816,"@USER @USER @USER @USER @USER needs to take action instead of turning a blind eye to what occurred. It was shameful behaviour, tantamount to organised bullying. Reprehensible"" just a word. If she ignores it. she is part of problem. Ineffective leadership entrenches this rot in ALP party culture""",NOT,,,"          needs to take action instead of turning a blind eye to what occurred  it was shameful behaviour, tantamount to organised bullying  reprehensible"" just a word  if she ignores it  she is part of problem  ineffective leadership entrenches this rot in alp party culture"""
4419,57761,The Trump Alert System in action. #Trump2020 #TRUMP2020 #MAGA URL,NOT,,,the trump alert system in action   trump2020  trump2020  maga url
4420,16997,@USER nah my foodie ass will gladly say it. that works on absolutely no one's fucking palate.,OFF,TIN,OTH,  nah my foodie ass will gladly say it  that works on absolutely no one  fucking palate 
4421,12855,@USER @USER #metoo #resistance #blm #antifa #Kaepernick all nothing but false outrage.,NOT,,,     metoo  resistance  blm  antifa  kaepernick all nothing but false outrage 
4422,68284,@USER But he IS.,NOT,,,  but he is 
4423,27799,@USER Another Pile of B/S By the Former A-G !,NOT,,,  another pile of b s by the former a g !
4424,52912,@USER @USER was supposed to be Monday,NOT,,,    was supposed to be monday
4425,85007,@USER @USER He is! It's his first regression too XD,NOT,,,    he is! it  his first regression too xd
